id,step_key,option_text,title,template_text,source_files,created_at,updated_at,created_by
01707f84-5f7b-46de-b630-21195a563939,desercao_funjus_2pgto,Comprovou pagamento em valor simples (em vez de dobro),Deserção §4º — vício (FUNJUS) — Comprovou pagamento em valor simples (em vez de dobro) (REsp),AINDA SEM REFERENCIA DE MINUTAS,[],2026-04-27 19:09:14.719781+00,2026-04-27 19:09:14.719781+00,
01807b6c-07e7-4aa3-be65-677375621aaa,comp_gru,Juntou só a guia GRU (sem comprovante de pagamento),Complementação GRU — Juntou só a guia GRU (sem comprovante de pagamento) (REsp),"Verifica-se que o recurso não foi devidamente preparado, pois a parte não comprovou o efetivo recolhimento das custas devidas ao Superior Tribunal de Justiça, uma vez que juntou tão somente a guia de recolhimento ([MOVIMENTO]), sem o respectivo comprovante de pagamento.

Sendo assim, nos termos do artigo 1.007, § 2º, do Código de Processo Civil, intime-se a parte recorrente para que apresente, no prazo de 5 (cinco) dias, sob pena de deserção, comprovante de pagamento referente à guia de recolhimento de [MOVIMENTO], no qual conste o código de barras de forma visível e legível, ""para que não haja dúvida acerca da validade do documento e do seu efetivo recolhimento."" (AREsp 2062229-SP/RS, Rel. Ministro HUMBERTO MARTINS, QUARTA TURMA, julgado em 21/03/2022, DJe 22/03/2022).

Caso não seja possível apresentar referido documento, a parte deverá realizar o recolhimento da importância de R$ 270,12 (duzentos e setenta reais e doze centavos), por meio de guia GRU-COBRANÇA, referente às custas do Superior Tribunal de Justiça, conforme Tabela ""B"", do Anexo da INSTRUÇÃO NORMATIVA STJ/GP N. 13 DE 27 DE JANEIRO DE 2026, cujo novo valor passou a vigorar a partir de 02/02/2026.

Cumpre esclarecer que para comprovação do efetivo recolhimento do preparo, a parte deverá providenciar a juntada da guia e do respectivo comprovante de pagamento, no qual conste o código de barras de forma visível e legível. No caso do pagamento ter sido realizado por meio da plataforma digital PagTesouro, da Secretaria do Tesouro Nacional (ferramenta disponibilizada pela Corte Superior), a parte deverá apresentar o recibo enviado pelo STJ por e-mail, que conterá todas as informações do pagamento, inclusive com os dados de identificação do contribuinte, número único do processo, bem como o Número de Referência, código que identifica o recolhimento.","[""670588""]",2026-04-27 19:09:14.719781+00,2026-04-27 19:09:14.719781+00,
04b4210b-db1c-4f02-b547-a040a4bad63f,desercao_nd_2pgto,Divergência de código de barras,Deserção §4º — vício (ambas) — Divergência de código de barras (REsp),AINDA SEM REFERENCIA DE MINUTAS,[],2026-04-27 19:09:14.719781+00,2026-04-27 19:09:14.719781+00,
079ce0a9-9396-483e-88df-e5893dbd373f,comp_funjus,Guia FUNJUS juntada + comprovante de agendamento bancário,Complementação FUNJUS — Guia FUNJUS juntada + comprovante de agendamento bancário (REsp),"O recurso não foi devidamente preparado, visto que o recolhimento das custas recursais devidas a este Tribunal de Justiça não restou comprovado, já que o comprovante de agendamento bancário juntado no [MOVIMENTO] não é documento apto a comprovar o efetivo recolhimento das custas (AgInt nos EAREsp n. 940.673/SP, relator Ministro João Otávio de Noronha, Corte Especial, julgado em 8/4/2025, DJEN de 14/4/2025.).

Sendo assim, intime-se a parte Recorrente, nos termos do artigo 1.007, § 2º, do Código de Processo Civil, para, no prazo de 5 (cinco) dias, complementar o preparo recursal, sob pena de deserção.

Para tanto, deverá apresentar o comprovante de pagamento referente à guia juntada no [MOVIMENTO], no qual conste o código de barras de forma visível e legível, ""para que não haja dúvida acerca da validade do documento e do seu efetivo recolhimento."" (AREsp 2062229-SP/RS, Rel. Ministro HUMBERTO MARTINS, QUARTA TURMA, julgado em 21/03/2022, DJe 22/03/2022).

Caso não seja possível apresentar referido documento, deverá ser realizado novo recolhimento da importância de R$ 300,00 (trezentos reais) ao Fundo da Justiça – FUNJUS, referente às custas locais, previstas na Lei Estadual nº 22.956/2025.

Insta salientar que a juntada da guia e do respectivo comprovante de pagamento, no qual conste o código de barras de forma visível e legível, são imprescindíveis para fins de comprovação do efetivo recolhimento do preparo.","[""nao_tem_comprovante_de_agendamento""]",2026-04-27 19:09:14.719781+00,2026-04-27 19:09:14.719781+00,
0aebc2ed-1af8-4354-8be5-ccd1962a51ce,comp_funjus,Guia FUNJUS juntada + comprovante não localizado (N/D),Complementação FUNJUS — Guia FUNJUS juntada + comprovante não localizado (N/D) (REsp),AINDA SEM REFERENCIA DE MINUTAS,[],2026-04-27 19:09:14.719781+00,2026-04-27 19:09:14.719781+00,
1a44781c-eede-4048-85f2-775d142d3f1c,desercao_funjus_2pgto,Número de processo ausente ou incorreto,Deserção §4º — vício (FUNJUS) — Número de processo ausente ou incorreto (REsp),AINDA SEM REFERENCIA DE MINUTAS,[],2026-04-27 19:09:14.719781+00,2026-04-27 19:09:14.719781+00,
1ad43093-7ca8-4f1e-bdba-f77f040b44a6,desercao_funjus_1pgto,Valor divergente ou insuficiente (FUNJUS),Deserção §2º — vício (FUNJUS) — Valor divergente ou insuficiente (FUNJUS) (REsp),AINDA SEM REFERENCIA DE MINUTAS,[],2026-04-27 19:09:14.719781+00,2026-04-27 19:09:14.719781+00,
1c91faf4-bc1d-41a4-82af-09a09a20e675,comp_gru,Guia GRU juntada + divergência de código de barras,Complementação GRU — Guia GRU juntada + divergência de código de barras (REsp),"O presente recurso não foi devidamente preparado, visto que o recolhimento ao Superior Tribunal de Justiça não restou comprovado, já que não há correspondência entre o código de barras constante na guia de recolhimento de [MOVIMENTO] e o do comprovante de pagamento de [MOVIMENTO].

A jurisprudência do Superior Tribunal de Justiça é firme no sentido de que ""A falta de correspondência entre o código de barras da guia de recolhimento e o comprovante de pagamento impede a aferição da regularidade do preparo, tornando o recurso deserto."" (AgInt nos EDcl no AREsp n. 2.664.415/SP, relatora Ministra Daniela Teixeira, Terceira Turma, julgado em 5/5/2025, DJEN de 8/5/2025.).

Assim sendo, nos termos do artigo 1.007, § 2º, do Código de Processo Civil, intime-se a parte recorrente para que, no prazo de 5 (cinco) dias, junte aos autos o comprovante de pagamento referente à guia de recolhimento de [MOVIMENTO].

Caso não seja possível a apresentação do comprovante de pagamento, realizar novo recolhimento da importância de R$ 270,12 (duzentos e setenta reais e doze centavos), por meio de guia GRU-COBRANÇA, referente às custas do Superior Tribunal de Justiça, conforme Tabela ""B"", do Anexo da INSTRUÇÃO NORMATIVA STJ/GP N. 13 DE 27 DE JANEIRO DE 2026.

Cumpre esclarecer que para comprovação do efetivo recolhimento do preparo, a parte deverá providenciar a juntada da guia e do respectivo comprovante de pagamento, no qual conste o código de barras de forma visível e legível. No caso do pagamento ter sido realizado por meio da plataforma digital PagTesouro, da Secretaria do Tesouro Nacional (ferramenta disponibilizada pela Corte Superior), a parte deverá apresentar o recibo enviado pelo STJ por e-mail, que conterá todas as informações do pagamento, inclusive com os dados de identificação do contribuinte, número único do processo, bem como o Número de Referência, código que identifica o recolhimento.","[""628802""]",2026-04-27 19:09:14.719781+00,2026-04-27 19:09:14.719781+00,
1dfff163-2421-4198-bcfb-f2d06978fa42,desercao_funjus_2pgto,Valor divergente ou insuficiente (FUNJUS),Deserção §4º — vício (FUNJUS) — Valor divergente ou insuficiente (FUNJUS) (REsp),AINDA SEM REFERENCIA DE MINUTAS,[],2026-04-27 19:09:14.719781+00,2026-04-27 19:09:14.719781+00,
1e639c25-694c-4765-b2ca-85af89adce21,apos_indeferimento_jg,Decurso de prazo,Após indeferimento de J.G. — Decurso de prazo (REsp),"Declaro a deserção do recurso, uma vez que a parte recorrente devidamente intimada da decisão que indeferiu o pedido de justiça gratuita formulado na petição recursal e determinou o recolhimento do preparo ([MOVIMENTO]), não se manifestou (certidão de decurso de prazo de [MOVIMENTO]).

Nesse sentido:
""PROCESSUAL CIVIL. AGRAVO INTERNO NO AGRAVO EM RECURSO ESPECIAL. DECISÃO DO RELATOR NO TRIBUNAL DE ORIGEM QUE NEGOU SEGUIMENTO AO RECURSO DE APELAÇÃO. VIOLAÇÃO DOS ARTS. 489 E 1.022 DO CPC. NÃO OCORRÊNCIA. DENEGAÇÃO DO PEDIDO DE JUSTIÇA GRATUITA. AUSÊNCIA DE RECOLHIMENTO DO PREPARO NO PRAZO ASSINALADO. DESERÇÃO. DECISÃO MANTIDA. AGRAVO INTERNO NÃO PROVIDO.
(...)
3. Contudo, se mesmo após ter sido intimada na forma do dispositivo acima mencionado, a parte não efetuar o recolhimento do preparo recursal no prazo assinalado, a consequência é o reconhecimento da deserção do recurso, e não uma nova intimação a fim de possibilitar o recolhimento em dobro, na esteira do que dispõe o art. 1.007, § 4º, do CPC.
4. Agravo interno não provido"".
(AgInt no AREsp n. 2.624.581/MS, relator Ministro Moura Ribeiro, Terceira Turma, julgado em 24/2/2025, DJEN de 28/2/2025.)

Diante do exposto, inadmito o recurso interposto.

Intimem-se.","[""606190"",""672340""]",2026-04-27 19:09:14.719781+00,2026-04-27 19:09:14.719781+00,
